,Industry
NEXTMEDIA.NS,Pharmaceuticals
NFL.NS,Fertilisers
NHPC.NS,Power
NIBL.NS,
NIITLTD.NS,Computers
NIPPOBATRY.NS,Dry Cells
NITCO.NS,Ceramics
NITINSPIN.NS,Textiles
NLCINDIA.NS,
NMDC.NS,Mining
NOCIL.NS,Petrochem
NRBBEARING.NS,Auto Ancl
NTPC.NS,Power
NUCLEUS.NS,Computers
NXTDIGITAL.NS,Telecom
OBEROIRLTY.NS,Construction
OFSS.NS,Computers
OIL.NS,Oil Drilling
OILCOUNTUB.NS,Steel
OLECTRA.NS,Steel
OMAXAUTO.NS,Auto Ancl
OMAXE.NS,Construction
OMKARCHEM.NS,Chemicals
OMMETALS.NS,
ONGC.NS,Oil Drilling
ONMOBILE.NS,Telecom
ONWARDTEC.NS,Telecom
OPTOCIRCUI.NS,Medical
ORBTEXP.NS,
ORIENTABRA.NS,Grinding Wheels
ORIENTALTL.NS,Grinding Wheels
ORIENTBELL.NS,
ORIENTCEM.NS,
ORIENTHOT.NS,Hotels
ORIENTLTD.NS,
ORIENTPPR.NS,Diversified
ORIENTREF.NS,
ORISSAMINE.NS,Mining
PAEL.NS,
PAGEIND.NS,Textiles
PAISALO.NS,Textiles
PANACEABIO.NS,Pharmaceuticals
PANAMAPET.NS,
PAPERPROD.NS,Packaging
PARACABLES.NS,Pharmaceuticals
PARSVNATH.NS,Construction
PATELENG.NS,Construction
PATINTLOG.NS,Transport
PATSPINLTD.NS,Textiles
PCJEWELLER.NS,
PDSMFL.NS,
PEARLPOLY.NS,Paper
PEL.NS,
PENIND.NS,Steel
PENINLAND.NS,Construction
PERSISTENT.NS,Computers
PETRONET.NS,Petrochem
PFC.NS,Finance
PFIZER.NS,Pharmaceuticals
PFOCUS.NS,Entertainment
PFS.NS,
PGHH.NS,FMCG
PGHL.NS,FMCG
PGIL.NS,
PHILIPCARB.NS,Misc
PHOENIXLTD.NS,Construction
PIDILITIND.NS,Chemicals
PIIND.NS,
PILITA.NS,
PIONDIST.NS,Beverages
PIONEEREMB.NS,Textiles
PITTIENG.NS,Textiles
PLASTIBLEN.NS,Plastics
PNB.NS,Banks - PSU
PNBGILTS.NS,Finance
PNC.NS,
POLYMED.NS,
POLYPLEX.NS,Packaging
PONNIERODE.NS,Sugar
POWERGRID.NS,Power
PPAP.NS,Plastics
PRADIP.NS,
PRAENG.NS,Construction
PRAJIND.NS,Engineering
PRAKASH.NS,Diversified
PRAKASHSTL.NS,
PRECWIRE.NS,Metals
PREMIERPOL.NS,
PRESSMN.NS,
PRESTIGE.NS,
PRIMESECU.NS,Finance
PROZONINTU.NS,
PRSMJOHNSN.NS,
PSB.NS,Banks - PSU
PTC.NS,Power
PTL.NS,Auto Ancl
PUNJABCHEM.NS,Chemicals
PURVA.NS,Construction
PVR.NS,Entertainment
RADICO.NS,Finance
RAIN.NS,
RAJESHEXPO.NS,Jewellery
RAJSREESUG.NS,Sugar
RAJTV.NS,Entertainment
RALLIS.NS,Agro
RAMANEWS.NS,Paper
RAMCOCEM.NS,
RAMCOIND.NS,Cement
RAMCOSYS.NS,Computers
RAMKY.NS,Construction
RANEENGINE.NS,Auto Ancl
RANEHOLDIN.NS,Finance
RATNAMANI.NS,Steel
RAYMOND.NS,Textiles
RBL.NS,Auto Ancl
RCF.NS,Fertilisers
RECLTD.NS,Finance
REDINGTON.NS,
REFEX.NS,
RELAXO.NS,
RELCAPITAL.NS,Finance
RELIANCE.NS,Diversified
RELIGARE.NS,
RELINFRA.NS,Power
TRIL.NS,
TRITURBINE.NS,
TRIVENI.NS,Sugar
TTKPRESTIG.NS,Appliances
TTL.NS,Textiles
TTML.NS,Telecom
TV18BRDCST.NS,Entertainment
TVSELECT.NS,Computers
TVSMOTOR.NS,Auto
TVSSRICHAK.NS,Auto Ancl
TVTODAY.NS,Entertainment
TWL.NS,Engineering
UBL.NS,
UCALFUEL.NS,Auto Ancl
